rally,round,team,receive_location,digger_location,pass_land_location,hitter_location,hit_land_location,pass_rating,set_type,set_location,hit_type,hit_type,num_blockers,block_touch,serve_type,win_reason,lose_reason,winning_team,Game ID,end_of_rally,Score_TeamA,Score_TeamB,Set_Number,score_margin,points_to_win_A,points_to_win_B,prev_set_location,streak_A,streak_B,pass_quality,from_service_or_attack,set_loc
175,1,1,4,4,14,14,12,1,1,quick,hit,1,2,yes,jump,,,a,1,FALSE,21,16,4,5,4,9,1,0,1,3,1,2
11,1,1,2,2,12,14,12,1,1,quick,tip,4,1,no,jump,,,b,1,FALSE,6,4,1,2,19,21,2,0,1,3,1,2
113,1,1,9,9,8,15,12,0,0,outside,off_speed,2,3,yes,jump,kill,kill,a,1,TRUE,12,11,3,1,13,14,3,1,0,2,1,1
82,2,1,2,7,16,15,12,0,0,outside,tip,4,2,no,,,,a,1,FALSE,19,19,2,0,6,6,3,1,0,1,0,1
105,1,1,7,3,12,26,12,1,1,outside,tip,4,0,no,jump,,,b,1,FALSE,8,6,3,2,17,19,0,0,1,3,1,1
179,2,2,9,9,9,11,13,0,0,oppo,blocked,0,2,yes,,kill,kill,a,1,TRUE,25,17,4,8,0,8,1,1,0,2,0,3
121,1,1,4,3,13,11,13,0,0,oppo,hit,1,2,yes,jump,,,b,1,FALSE,16,14,3,2,9,11,1,0,2,3,1,3
64,8,2,7,6,9,11,13,0,0,oppo,roll_shot,3,2,no,,,,a,1,FALSE,8,12,2,-4,17,13,3,0,1,2,0,3
146,1,2,2,2,13,13,13,1,1,quick,blocked,0,1,yes,jump,,,a,1,FALSE,7,1,4,6,18,24,1,2,0,3,1,2
153,2,1,3,3,12,13,13,1,1,bic,blocked,0,3,yes,,,,b,1,FALSE,11,4,4,7,14,21,1,1,0,3,0,4
85,3,1,8,7,13,13,13,1,1,bic,hit,1,2,no,,net,net,b,1,TRUE,21,21,2,0,4,4,3,0,1,3,0,4
19,1,2,9,9,13,13,13,1,1,quick,tip,4,0,no,jump,hit_error,hit_error,a,1,TRUE,10,9,1,1,15,16,1,2,0,3,1,2
30,1,2,10,9,14,14,13,1,1,quick,hit,1,3,yes,float,,,b,1,FALSE,17,12,1,5,8,13,2,4,0,3,1,2
85,1,2,9,9,13,15,13,1,1,outside,blocked,0,2,yes,float,,,b,1,FALSE,21,20,2,1,4,5,2,1,0,3,1,1
90,4,2,13,13,8,15,13,0,0,oppo,blocked,0,2,yes,,,,a,1,FALSE,24,22,2,2,1,3,0,1,0,2,0,3
86,1,1,9,9,13,15,13,1,1,outside,hit,1,2,no,jump,kill,kill,a,1,TRUE,22,21,2,1,3,4,4,1,0,3,1,1
